"parkson_urls_link","parkson_urls_date_date","parkson_urls_date_user","parkson_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 4, 2019 10:13 AM","Joetay88","Buy more 23.5 sen haha."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 4, 2019 12:09 PM","joetay7",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 4, 2019 3:05 PM","8888_","Buyers lai liao? WC privatise?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 4, 2019 7:13 PM","yucaihacai","Buy more 0.235 ? This guy can trust ?
Joetay88 Buy more 23.5 sen haha.
04/01/2019 10:13"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 5, 2019 12:19 PM","joetay7",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 7, 2019 10:52 AM","8888_","Online stores cannot see shirt/dress why must gamble if get conned?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 7, 2019 10:52 AM","8888_","Retail is dead? Don’t tell hot online brands rushing to open stores in desirable urban US neighbourhoods
Read more at https://www.thestar.com.my/tech/tech-news/2019/01/07/bricks-and-mortar..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 7, 2019 11:49 AM","8888_","I own many ctrs unlike yucaihacai etc. 26 sen still lower than Cheng Yong Kim buying price?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 8, 2019 3:55 PM","5354_","VT(BJ Corp, BJ Land) ctrs moving why WC Parkson cannot?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 9, 2019 12:16 PM","Undi_PKR","Bull run courtesy of PKR(PH) leaders."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 9, 2019 1:22 PM","joetay7",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 10, 2019 12:57 PM","yucaihacai","Thank you kosong 55 and cheng yong kim buying support.
i sold to you."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 10, 2019 12:59 PM","5354_","Why must sell? PRGL still up and CNY soon."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 11, 2019 1:12 AM","joetay2",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 11, 2019 10:28 AM","8888_","Where is 20 sen?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 11, 2019 10:29 AM","joetay2",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 11, 2019 11:17 AM","8888_","Parkson sharp fall from RM 3-4 past 3-4 years also behind BN fall? How can 27 sen enough?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 13, 2019 5:48 AM","Ongmali2019","2019 ong year? RM 2 Parkson coming?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 13, 2019 7:11 AM","VenFx","Is Parkson will varnished in the rising of eternet ?
I still feel hard to believe it.
What strategy laid out ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 13, 2019 7:11 AM","VenFx","Any good infos to update ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 13, 2019 11:32 AM","5354_","Are you sure only Parkson affected? Why Econsave, Guardian, Watson,etc and many retailers not affected?
Posted by VenFx > Jan 13, 2019 07:11 AM | Report Abuse
Is Parkson will varnished in the rising of eternet ?
I still feel hard to believe it.
What strategy laid out ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 14, 2019 9:22 AM","Change_","PH govn not good? Why share price worse than BN?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 14, 2019 1:10 PM","Parkson18","Close Parkson stores better? Don't blame Parkson for more unemployment? Blame PH govn?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 15, 2019 2:43 PM","farkson",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 15, 2019 2:44 PM","farkson",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 15, 2019 6:26 PM","yucaihacai","Good , you sing down farkson. i want to collect low, low, low"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 15, 2019 6:57 PM","joetay2",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 18, 2019 8:41 AM","Joetay88","joetays suspended? Let me buy more. Q at 26 sen hope done."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 18, 2019 10:22 AM","Ubah_","No PRA CEO & CFO is good? Can save money since they cannot turnaround Parkson?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 18, 2019 11:55 AM","5354_","Leesk, yuhaihacai, kennean, kelvin61, etc cut loss so no more their postings?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 20, 2019 11:38 AM","Parkson18","Parkson Foodpark Supermarket Chinese New Year Promotion (4 January 2019 - 19 February 2019)
https://www.syioknya.com/DealDetail/10235-parkson-foodpark-supermarket..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 20, 2019 11:40 AM","AeonNext","Parkson Foodpark like Aeon?
https://www.syioknya.com/DealDetail/10235-parkson-foodpark-supermarket..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 20, 2019 11:43 AM","5354_","Why no1 propose to management to have Malaysia wide Parkson FoodPark? Have food to eat so that people can stay longer in Parkson translate to better sales?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 21, 2019 11:58 AM","yucaihacai","Why Parkson China suddenly up 10% ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 21, 2019 2:15 PM","8888_","1) Buyers who sold past few years returned?
2) CNY coming soon so Parkson having good sales in China?
https://www.bloomberg.com/quote/3368:HK
yucaihacai Why Parkson China suddenly up 10% ?
21/01/2019 11:58"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 22, 2019 2:10 PM","Parkson18","PRGL up 4 sen why no1 promote?
https://www.bloomberg.com/quote/3368:HK"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=179","Jan 24, 2019 4:09 PM","5354_","Parkson shareholders i3 laziest? Why PRGL up 4 sen even 1 not aware?
https://www.bloomberg.com/quote/3368:HK"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 28, 2019 10:17 AM","BN_better","No BN no Parkson today? Why Parkson started under BN not PH?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 28, 2019 3:10 PM","Change_","Business not good? Why not sell food like Parkson FoodPark?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 28, 2019 5:37 PM","mach10","ks55,joetay 恭喜破财 for this whole year."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 29, 2019 12:24 PM","8888_","PRA up only ghost know not i3 members?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 30, 2019 4:53 AM","88888888_","Buy more 26 sen. Both PRGL, PRA up as CNY soon why got people sell cheap?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 30, 2019 12:09 PM","yucaihacai","Why Parkson China suddenly up 10% ? kosong 55, any good news ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 30, 2019 12:44 PM","Lam LH","parkson klcc closing end february.."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 30, 2019 6:50 PM","yucaihacai","百盛集團(03368)股價顯著上升12.308%，現價港幣$0.73
2019/01/30 15:03
[上升股]百盛集團(03368) 股價在下午03:03比前收市價顯著上升12.308%，現股價為港幣$0.73。至目前為止，今日最高價為$0.73，而最低價為$0.65。總成交量為3.882千萬股，總成交金額為港幣$2.685千萬。"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Jan 30, 2019 6:50 PM","yucaihacai","《異動股》中國百貨超市股走勢異，百盛升近１１％
•
《經濟通通訊社３０日專訊》農曆新年消費旺季，在內地經濟百貨及超市的股份，今日走勢
各異，百盛集團（０３３６８）現價急升１０﹒７７％，報０﹒７２０元；成交約４１２３萬股"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 8:12 AM","MK76","Should have shaken up the management and board members for not performing long time ago."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 1:26 PM","Leesk","Not sure how many Parkson need to close if not able to make it at klcc"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 2:12 PM","Parkson18","High rental Parkson(2018-Sg Wang,etc) and high salary staffs must go first."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 2:14 PM","Parkson18","That's why PRA and latest PRGL CEO must resign. People don't know the CEO except WC.
Posted by MK76 > Feb 1, 2019 08:12 AM | Report Abuse
Should have shaken up the management and board members for not performing long time ago."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 2:15 PM","Parkson18","If Genting Lim Kok Thay can be CEO why Parkson need outsiders as CEO not WC?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 2:24 PM","speakup","this parkson drop from rm10 to 27sen. many ppl got farked!"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 1, 2019 2:51 PM","Parkson18","You don't know Hibiscus got drop below 20 sen before?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 2, 2019 4:34 PM","newbie5354_","Even KLCC close is it hard to find another Parkson in KL or nearby for shoppers?
Leesk Not sure how many Parkson need to close if not able to make it at klcc
01/02/2019 13:26"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 2, 2019 4:35 PM","newbie5354_","After 20 years in KLCC also close?
https://www.thestar.com.my/business/business-news/2019/02/02/parkson-t..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 3, 2019 9:56 AM","Parkson18","Tourism Minister encourages private sector workers to wear batik to boost industry
https://www.malaymail.com/news/malaysia/2019/02/02/tourism-minister-en..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 3, 2019 10:28 AM","freddiehero","want to transform"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 9:24 AM","parksonnewbie","yucaihacai not postings bec busy doing shorts today?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 9:32 AM","parksonnewbie","Is PRA QR getting worse after closing Sungei Wang Parkson in 2018 so close Suria KLCC is bad news?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 9:33 AM","parksonnewbie","Sad CNY for all. Why choose PH in GE14?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 12:36 PM","BN_better","At press time, the company was not able to revert to queries from StarBiz on reasons for its closure.
https://klse.i3investor.com/blogs/PublicInvest/192418.jsp"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 12:37 PM","Undi_PAS","Who push down Parkson price dare to answer?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 4, 2019 4:45 PM","Fahim",""
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 10:02 AM","cheng3333","Parkson to close its Suria KLCC outlet
https://www.thestar.com.my/business/business-news/2019/02/02/parkson-t...
An industry observer who requested anonymity claimed that Suria KLCC is constantly looking to diversify its tenant mix and wanted back the lot that Parkson occupied.
“From what I understand, Parkson did not want to move out and were keen to maintain a presence in Suria KLCC.”"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:10 PM","fuzi","parkson stores shirt and skirts no design not beautiful all old fashions..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:15 PM","fuzi","parkson stores merchandise look like 90s not 2020s no modern...should not alive...."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:16 PM","fuzi","everybody go jusco buy...."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:24 PM","BN_better","Aeon why no such complain on merchandise? Everything in Aeon 2020?
Posted by fuzi > Feb 6, 2019 12:15 PM | Report Abuse
parkson stores merchandise look like 90s not 2020s no modern...should not alive...."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:30 PM","fuzi","parkson stores rustic merchandise sell in emerging market vietnam ,indonesia,mynmar can la....developing country like malaysia,singapore and china people don't like rustic merchandise..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 6, 2019 12:33 PM","fuzi","parkson stores all in unpopular mall...will die la..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 7, 2019 9:54 AM","Hidup_Anwar","Bankers not human? Why buy call at high price then short Parkson?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 7, 2019 9:54 AM","Hidup_Anwar","Mahasiswa perlu lengkapi diri dengan karakter kemanusiaan - Anwar
http://www.astroawani.com/berita-malaysia/mahasiswa-perlu-lengkapi-dir..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 7, 2019 9:55 AM","Hidup_Anwar","Anwar PM close Public Bank, Kenanga, etc for conning people."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 7, 2019 12:31 PM","Leesk","PARKSON do not fit into KLCC. KLCC stores are now all branded by foreign labels only for the rich and tourists"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 8, 2019 5:25 PM","Leesk","let it dropped further?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 11, 2019 8:13 AM","MK76","Hopefully 0.235 is the lowest. Technical convergence it seems - higher low for technical while price remains flat. Possible buy?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 11, 2019 6:27 PM","freddiehero","can buy some.. slow"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 11, 2019 7:57 PM","MK76","Ok thanks. I bought some today. Let's hope that it will go up in long term."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 8:50 AM","MK76","Freddiehero, do you think Parkson qr will be good due to the new year holiday sales? I saw a report yesterday that says: China's retailer and catering enterprises earned over 1T yuan ($148.3B) during the lunar holiday; defying an economic slump to rise 8.5% from last year.
That seems to be a huge increase and hopefully Parkson enjoyed some of the sales. The previous quarter report of Parkson showing some improvement qtr over qtr."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 9:04 AM","speakup","at it's peak, PARKSON was RM10."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 11:58 AM","yucaihacai","Parkson china up 8% now"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 11:58 AM","yucaihacai","E&O laosai, kosong 55, Your lovely counter."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 12:50 PM","yucaihacai","Parkson China up 10% ! Please sell to me 0.235 and below. Kosong 55 sold 0.24 ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 4:02 PM","yucaihacai","kosong 55, you go sapu lah E&O. now -20% mega sales. Sell 0.230 to me, waiting you."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 7:00 PM","Leesk","every year losses and eventually if cannot turnaround will be PN 17"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 12, 2019 8:31 PM","freddiehero","new look parkson coming?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=180","Feb 13, 2019 5:55 AM","newbie5354_","Why PRGL keep going up Parkson opposite?
https://www.bloomberg.com/quote/3368:HK"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:20 AM","cutie","parkson listed in singapore now only 2 sen...might be delisted soon. Is this the side effects ??"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:33 AM","MK76","Sad isn't it. Lucky bought some only. Kept going down."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:47 AM","cutie","dont know what is going on with this stupid share. one up and one down"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:49 AM","5354_","PRA buy bid increase no more in 1 sen."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:49 AM","5354_","PRA cheap easier to privatise no need so big capital."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 10:51 AM","MK76","Privatise? Possible? Privatise at how much? 40 cents?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 3:46 PM","tnang","manage to grab at 23.5 thk who sold to me."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 4:21 PM","yucaihacai","Thanks kosong 55 sold me 0.235, 0.230 and 0.225. All sold at 0.250."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 5:37 PM","cheng3333","this company's NTA is more than rm 3.0 if revalued. the downside is limited ."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 5:39 PM","apolloang","semua umno melayu dare to push this is cina pek company penakut"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 5:53 PM","Leesk","Anybody body know what is the market value of Parkson China and i understand that the Parkson holdings shares is 54%holdings shares"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 13, 2019 5:56 PM","Leesk","The 54% of the mkt price of Parkson China maybe more than mkt price of 100% of Parkson holdings with current low price"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 14, 2019 10:10 AM","yucaihacai","bought back 235. kosong 55, pls sell me more 0.235 and below"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 15, 2019 9:13 AM","MK76","Yeah. Selling pressures. Looks like going below 20 cents. Hopeless d."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 15, 2019 9:42 AM","cheng3333","the bull is charging in the stock market. only dumb asses are dumping the stock at such a low price."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 15, 2019 5:59 PM","cheng3333","lionind sold Angkasa Amsteel Pte Ltd to Daehan Steel Co Ltd
https://klse.i3investor.com/servlets/staticfile/348655.jsp
Wealthy Cheng is 76 . he may sell Parkson too.who knows ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 17, 2019 11:37 AM","MK76","Parkson gradually phasing out its old Parkson outlook to Parkson Elite. Looks cool mda family friendly. Sales and marketing department needs to be more aggressive. Hopefully local brand will survive."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 17, 2019 11:48 AM","cutie","want to take over PRA...free also no one wants, so many debts. Will the PRA share effect Parkson? advice please."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 17, 2019 10:08 PM","cheng3333","most of china's assets were bought before year 2004 and not revalued. parkson's nta is easily worth more than rm3 if revalued.the debt is minor compared to the huge assets."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 18, 2019 11:37 AM","Undi_PAS","WC talk to Anwar also no use? Need PAS ruling in GE15?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 12:23 AM","cheng3333","百盛如何靠Parkson Beauty持续加大美妆优势？
http://news.winshang.com/html/064/1133.html
中国化妆品尤其是高端化妆品市场潜力巨大，而拥有 L’Oréal, Estée Lauder, LVMH, Shiseido等一线美妆集团资源的百盛而言在行业内的优势相当明显。"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 11:55 AM","Lam LH","judging by the share price i guess this qr results should be bad."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 3:34 PM","cheng3333","Parkson Beauty全面开业 百盛零售版图迎里程碑时刻
http://www.linkshop.com.cn/club/archives/2018/967658.shtml
大牌美妆护肤专卖店及限量SPA馆入住长沙核心商圈
Parkson Beauty全店汇集Lancome、Estee Lauder、Dior、CHANEL、YSL、La Prairie、LA MER等近二十家国际化妆品牌专卖店；另有Jo Malone、AERIN、ALBION等多家国际顶级品牌首次入驻湖南省。拥有大牌美妆品牌和丰富炙热单品，Parkson Beauty率先为当地消费者提供量身定制的前沿美妆生活。
Parkson Beauty二楼还设有专门针对男士的时尚护肤、护理区、以及咖啡、家居生活等休闲体验区，让顾客在这里享受舒适的多维度休闲时光。此外，百盛的全新“玩美”妆集合店PLAY UP也在Parkson Beauty“潮海”登场。PLAY UP是百盛面向时尚、潮流前线人士所打造的“网红爆款”集结地。
美妆一直是百盛领先于行业的零售业务板块：拥有国际一线美妆品牌，炙热新品独家首发、及多元化的线下美妆体验。另外，不断顺应消费者生活方式的演进，推出层出不群的消费者美妆节体验，引领了商业体量的整体显著增长
http://www.parksongroup.com.cn/html_en/about_parkson/News_Detail.php?c..."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 4:03 PM","MK76","Cheng3333, is it good or bad?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 5:03 PM","farcry12","parkson undergoing business restructure?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 5:14 PM","cheng3333","Economic slowdown doesn’t dent Chinese youngsters' appeal for luxury makeup
http://www.globaltimes.cn/content/1138642.shtml
thriving demand from the Chinese market for luxury skincare products bolstered the revenues of major cosmetics makers - including L'Oreal, Estee Lauder and Shiseido
Estée Lauder Sales Rise as Chinese Consumers Spend Big on Beauty
https://www.wsj.com/articles/estee-lauder-sales-rise-as-chinese-consum...
The New York-based company said sales in the Asia-Pacific market, led by China and Hong Kong, rose 20% from a year earlier to about $1 billion, offsetting weaker demand in North America. Estée Lauder Chief Executive Fabrizio Freda said the quarter’s strength indicated that broader concerns in China about its economy haven’t hurt consumer spending on higher-quality beauty products.
Prestige beauty has historically been less sensitive to economic downturns because it is a more-affordable luxury category and is driven by repeat purchases. Mr. Freda also noted that uniquely in China younger consumers are spending more than their parents on these products, and that as well helps guard the category against geopolitical and economic concerns."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 5:25 PM","MK76","Ok thanks. Let's hope that it will be able to boost its bottom line - earnings."
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 20, 2019 10:49 PM","MK76","Parkson minority shareholder like us can only hope that the decade long decline will take a breather and move up a bit. Parkson Elite + Parkson Beauty = Elite Beauty :)"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 4:44 PM","Pen6","MK76, Have a wish you wish is a beautiful thing. 大伯公保佑 好梦成真 钱多多 OK !"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 7:23 PM","birkincollector","really? i kinda think its at the bottom now...lets see"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 8:50 PM","kennean","This quater's China loss can cover by dividen received from HK at last year end ?"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 10:00 PM","parksonnewbie","ks55 pokai from his shares drop? Why everywhere he posts badmouth only?
https://klse.i3investor.com/servlets/cube/post/ks55.jsp"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 10:02 PM","Parkson18","PRA, PRGL up today means Parkson assets increase.
https://sg.finance.yahoo.com/quote/O9E.SI/
https://www.bloomberg.com/quote/3368:HK"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 21, 2019 11:35 PM","cheng3333","报告显示，在2018年全年业绩中，美妆板块表现出色。这得以于百盛集团在2018年5月开设了首家Parkson Beauty独立概念专门店，以及在2019年9月该集团将青岛的一家百货店转型为第二家Parkson Beauty门店
http://hk.eastmoney.com/a/201902211049809357.html"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 22, 2019 2:57 AM","5354_","Any1 know why PRGL must pay so much tax(RMB 180,449,000)?
http://www.parksongroup.com.cn/upload/201902/155073358286489700.pdf"
"https://klse.i3investor.com/servlets/forum/800001080.jsp?ftp=181","Feb 22, 2019 2:58 AM","5354_","Profit before income tax RM 125,837,000 why pay more tax than profit?"
